knowledge_id,domain,subdomain,topic,knowledge_type,statement,formula,required_inputs,validation_rule,recommended_tool,source_title,source_section,source_page,source_tier,status,notes
GLO001,glossary,marketing,market segmentation,definition,Dividing a market into meaningful customer groups to support selection of customers to serve.,,,,llm+knowledge,"Principles of Marketing, 19th Edition",Customer-value-driven marketing strategy,PDF 52,A,approved,
GLO002,glossary,marketing,targeting,definition,Selecting the customer segment or segments the organization intends to serve.,,,,llm+knowledge,"Principles of Marketing, 19th Edition",Customer-value-driven marketing strategy,PDF 52,A,approved,
GLO003,glossary,marketing,positioning,definition,Defining how an offering should be perceived relative to alternatives in the minds of target customers.,,,,llm+knowledge,"Principles of Marketing, 19th Edition",Differentiation and positioning,PDF 52,A,approved,
GLO004,glossary,marketing,value proposition,definition,The value the organization promises to deliver to its target customer.,,,,llm+knowledge,"Principles of Marketing, 19th Edition",Marketing strategy,PDF 52,A,approved,
GLO005,glossary,marketing,nps,definition,Net Promoter Score: percentage of promoters minus percentage of detractors.,NPS = %Promoters - %Detractors,,Result range: -100 to 100.,python,"Key Marketing Metrics, 3rd Edition",2.9 Net Promoter,PDF 77,A,approved,
GLO006,glossary,marketing,clv,definition,Customer Lifetime Value: present value of future cash flows attributed to the customer relationship.,,,,python,"Key Marketing Metrics, 3rd Edition",5.3 Customer Lifetime Value,PDF 173,A,approved,
GLO007,glossary,marketing,price elasticity,definition,Responsiveness of quantity demanded to a percentage change in price.,Elasticity = %ΔQuantity / %ΔPrice,,,python,"Key Marketing Metrics, 3rd Edition",8.3 Price elasticity,PDF 227,A,approved,
GLO008,glossary,finance,npv,definition,Net Present Value: discounted value of project cash flows including the initial investment.,,,,python,"Fundamentals of Corporate Finance, 6th Edition",9. Net Present Value,PDF 314,A,approved,
GLO009,glossary,finance,irr,definition,Internal Rate of Return: a discount rate at which a project NPV is zero.,Solve NPV(r)=0,,,python,"Fundamentals of Corporate Finance, 6th Edition",9.5 IRR,PDF 323,A,approved,
GLO010,glossary,finance,wacc,definition,"Weighted Average Cost of Capital: weighted required return across financing sources, used as a discount rate for appropriate enterprise cash flows.",,,,python,Valuation: Measuring and Managing the Value of Companies,Cost of Capital,PDF 70,A,approved,
GLO011,glossary,operations,productivity,definition,Output produced relative to input consumed.,Productivity = Output / Input,,,python,"Operations Management, 13th Edition (Stevenson)",Productivity,PDF 89,A,approved,
GLO012,glossary,operations,capacity utilization,definition,Actual output relative to design capacity.,Utilization = Actual output / Design capacity,,,python,"Operations Management, 13th Edition (Stevenson)",Strategic Capacity Planning,PDF 226,A,approved,
GLO013,glossary,operations,reorder point,definition,The inventory level at which replenishment is triggered under an order-point policy.,,,,python,"Essentials of Inventory Management, 2nd Edition",Order-Point Formulae,PDF 128,A,approved,
GLO014,glossary,operations,safety stock,definition,Buffer inventory maintained to cover uncertainty such as lead-time variation or defects.,,,,python,"Essentials of Inventory Management, 2nd Edition",Safety stock,PDF 124-128,A,approved,
GLO015,glossary,operations,eoq,definition,Economic Order Quantity: replenishment quantity selected by balancing relevant ordering and carrying costs under model assumptions.,,,,python,"Essentials of Inventory Management, 2nd Edition",EOQ / Replenishment costs,PDF 54,A,approved,
GLO016,glossary,strategy,swot,definition,Framework separating internal strengths and weaknesses from external opportunities and threats.,,,,llm+knowledge,"Management, 14th Global Edition (Robbins & Coulter)",SWOT analysis,PDF 317,A,approved,
GLO017,glossary,strategy,pestle,definition,"Framework for political, economic, socio-cultural, technological, legal, and environmental external influences.",,,,llm+knowledge,"Business Analysis Techniques, 3rd Edition",PESTLE analysis,PDF 42,A,approved,
GLO018,glossary,strategy,five forces,definition,"Industry-structure framework covering new entrants, substitutes, buyer power, supplier power, and rivalry.",,,,llm+knowledge,"Management, 14th Global Edition (Robbins & Coulter)",Five Forces Model,PDF 326,A,approved,
GLO019,glossary,service design,customer journey map,definition,A representation of a customer's experience across stages and touchpoints of a service.,,,,llm+knowledge,Service Design,CX Analysis,PDF 29,A,approved,
GLO020,glossary,service design,service blueprint,definition,"A model linking front-stage customer interactions with back-stage processes, data, roles, measures, physical items, and applications.",,,,llm+knowledge,Service Design,Service Blueprint,PDF 182,A,approved,
GLO021,glossary,data,data governance,definition,Decision rights and accountability framework governing appropriate data behavior across its lifecycle.,,,,llm+knowledge,"Principles of Data Management, 3rd Edition",Data Governance,PDF 33,A,approved,
GLO022,glossary,data,metadata,definition,Data that describes or provides context for other data assets.,,,,mysql,"Principles of Data Management, 3rd Edition",Metadata,PDF 14,A,approved,
GLO023,glossary,data,star schema,definition,Analytical model centered on fact tables linked to dimension tables.,,,,mysql,"SQL for Data Analytics, 4th Edition",Star schema,PDF 19,A,approved,
GLO024,glossary,data,fact table,definition,"A table holding measurable events at a declared grain, typically linked to dimensions by keys.",,,,mysql,Data Modeling with Microsoft Power BI,Fact table modeling,N/A,B,approved,
GLO025,glossary,data,dimension table,definition,"A table providing descriptive context used to filter, group, or label facts.",,,,mysql,Data Modeling with Microsoft Power BI,Dimension modeling,N/A,B,approved,
GLO026,glossary,data,grain,definition,The level of detail represented by one row of an analytical fact/result set.,,,,mysql,Project analytical architecture,Analytical modeling convention,N/A,PROJECT,approved,
GLO027,glossary,sql,group by,definition,SQL operation that forms groups of rows so aggregate functions can return values at a defined grouping grain.,,,,mysql,"SQL Cookbook, 2nd Edition",Grouping,PDF 12,A,approved,
GLO028,glossary,sql,window function,definition,SQL function evaluated over a defined window/partition of rows while retaining row-level output.,,,,mysql,"SQL Cookbook, 2nd Edition",Windowing,PDF 7,A,approved,
GLO029,glossary,sql,index,definition,Database structure used to support more efficient row access for suitable query predicates/orderings.,,,,mysql,"High Performance MySQL, 4th Edition",Indexes / access methods,PDF 282,A,approved,
GLO030,glossary,sql,explain,definition,Database query-plan inspection used to understand how a SQL statement is expected to access data.,,,,mysql,"High Performance MySQL, 4th Edition",EXPLAIN,PDF 282,A,approved,
GLO031,glossary,ai,prompt injection,definition,Adversarial or untrusted instructions intended to manipulate a model/agent into ignoring intended controls or performing unsafe behavior.,,,,python,Building Applications with AI Agents,Prompt injection,PDF 131,B,approved,
GLO032,glossary,ai,hallucination,definition,"Generated content that is unsupported, fabricated, or incorrect relative to required evidence; in agentic systems it can be especially risky when linked to actions.",,,,python,Building Agentic AI Systems,Safety risks / hallucinations,PDF 417,B,approved,
GLO033,glossary,ai,structured output,definition,Model output constrained to a defined field/schema structure for reliable downstream parsing.,,,,python,Prompt Engineering for Generative AI,Structured output parsers,PDF 198,B,approved,
GLO034,glossary,security,least privilege,definition,Granting only the permissions required for an identity or runtime function to perform its approved task.,,,,mysql+python,Project security architecture,Database/access control policy,N/A,PROJECT,approved,
GLO035,glossary,agent workflow,data workflow,definition,"D.A.T.A.: Diagnose, Assemble, Take Action, Assess — the controlled execution workflow used by the single runtime agent.",,,,llm+python,Project architecture,D.A.T.A. workflow,N/A,PROJECT,approved,
GLO036,glossary,agent workflow,definition of done,definition,"Completion standard requiring verified MySQL evidence, validated SQL/calculations, concise evidence-based response, audit record, and requested report without modifying source business data.",,,,llm+python,Project architecture,Definition of Done,N/A,PROJECT,approved,
GLO037,glossary,runtime,local-only inference,definition,"Production LLM inference routed only to the approved localhost Ollama runtime, with no external metered LLM API fallback.",,,,python,Project architecture,Local-only runtime policy,N/A,PROJECT,approved,
