knowledge_id,domain,subdomain,topic,knowledge_type,statement,formula,required_inputs,validation_rule,recommended_tool,source_title,source_section,source_page,source_tier,status,notes
TECH001,data,sql,selective retrieval,principle,Analytical SQL should retrieve only the rows and columns needed for the question using explicit SELECT expressions and appropriate filters.,,required columns; filter conditions,Avoid SELECT * in production analytics unless every column is explicitly required.,mysql,"MySQL Cookbook, 4th Edition",Selecting Data / WHERE,N/A,A,approved,
TECH002,data,sql,joins,definition,Joins combine rows from multiple tables and are foundational for relational analytics.,,join keys; table relationships,Validate join keys and expected cardinality to prevent row multiplication.,mysql,"SQL Cookbook, 2nd Edition",3. Working with Multiple Tables,PDF 53,A,approved,
TECH003,data,sql,group by,rule,"When aggregate functions and GROUP BY are used, nonaggregated selected columns should be included in the grouping keys under standard SQL semantics.",,selected dimensions; aggregates,Reject ambiguous aggregation that relies on permissive nonstandard grouping behavior.,mysql,"SQL Cookbook, 2nd Edition",Grouping / Aggregate Functions,PDF 12,A,approved,
TECH004,data,sql,window functions,method,"Window functions calculate values over defined row partitions while retaining row-level detail, which is useful for rankings, running calculations, and report-style analytics.",,partition keys; order keys; window frame if needed,Define partition/order semantics explicitly and validate against a simpler reference query for critical metrics.,mysql,"SQL Cookbook, 2nd Edition",Windowing,PDF 7,A,approved,
TECH005,data,sql,null handling,principle,NULL represents missing/unknown values in SQL and must be handled explicitly in filters and calculations.,,nullable fields; intended missing-value semantics,Use IS NULL/IS NOT NULL or approved NULL-handling functions; do not compare NULL with ordinary equality.,mysql,"SQL for Data Analytics, 4th Edition",NULL handling functions / filtering,PDF 16,A,approved,
TECH006,data,modeling,star schema,definition,"A star schema organizes analytical data into fact and dimension tables to support intuitive filtering, joining, and aggregation.",,fact grain; dimension keys; measures,Define fact-table grain before aggregating; ensure dimensions join on valid keys.,mysql,"SQL for Data Analytics, 4th Edition",Loading data into the star schema,PDF 19,A,approved,
TECH007,data,modeling,transactional versus analytical models,principle,"Normalized models prioritize transactional integrity, while dimensional models simplify analytical querying; the model should fit the workload.",,workload type; integrity needs; analytical needs,Do not denormalize source-of-record data merely to simplify one query; use approved analytical views/models.,llm+knowledge,Advanced SQL,Data modeling approaches,N/A,B,approved,
TECH008,data,performance,query planning,principle,"Query plans should be inspected when performance matters because scan type, index use, and rows examined reveal how the database intends to execute a query.",,SQL query; schema/index metadata,Use EXPLAIN/plan inspection without executing destructive changes through the agent.,mysql,"SQL for Data Analytics, 4th Edition",10. Performant SQL / Query planning,PDF 17,A,approved,
TECH009,data,performance,explain,method,"MySQL EXPLAIN exposes estimated access methods and rows examined, helping diagnose inefficient queries.",,candidate SQL query,Use for diagnosis; do not automatically add/drop indexes from the runtime agent.,mysql,"High Performance MySQL, 4th Edition",Query Optimization / EXPLAIN,PDF 282,A,approved,
TECH010,data,performance,indexes,principle,"Appropriate indexes can reduce the amount of data MySQL must examine for selective queries, but an index does not guarantee a query will read few rows.",,filter/join columns; query plan; table size,Assess index benefit from actual workload and EXPLAIN; avoid speculative schema changes in read-only runtime.,mysql,"High Performance MySQL, 4th Edition",Access Types and Indexes,PDF 282,A,approved,
