knowledge_id,domain,subdomain,topic,knowledge_type,statement,formula,required_inputs,validation_rule,recommended_tool,source_title,source_section,source_page,source_tier,status,notes
BIZ001,marketing,strategy,segmentation and targeting,principle,A customer-value-driven marketing strategy first decides which consumers to serve through market segmentation and targeting.,,customer/market attributes,Do not recommend a target segment without defined segment evidence or criteria.,llm+knowledge,"Principles of Marketing, 19th Edition",Marketing: Creating Customer Value and Engagement,PDF 52,A,approved,
BIZ002,marketing,strategy,differentiation and positioning,principle,"After selecting customers to serve, marketing strategy specifies how to serve them through differentiation and positioning.",,target segment; competitor alternatives; value attributes,Positioning claims must be tied to defined customer value attributes and available evidence.,llm+knowledge,"Principles of Marketing, 19th Edition",Marketing: Creating Customer Value and Engagement,PDF 52,A,approved,
BIZ003,marketing,strategy,value proposition,definition,A value proposition states the value the organization intends to deliver to target customers.,,target customer; need; offered value,Do not treat a value proposition as proven customer value without evidence.,llm+knowledge,"Principles of Marketing, 19th Edition",Marketing: Creating Customer Value and Engagement,PDF 52,A,approved,
BIZ004,marketing,customer management,customer relationship management,principle,"Customer relationship management focuses on creating customer satisfaction, engagement, and profitable relationships over time.",,customer relationship data; experience measures,Separate observed retention/satisfaction metrics from interpretive claims about loyalty.,mysql+python,"Principles of Marketing, 19th Edition",Marketing: Creating Customer Value and Engagement,PDF 52,A,approved,
BIZ005,marketing,metrics,net promoter score,formula,Net Promoter Score measures recommendation tendency by subtracting detractors from promoters.,NPS = % Promoters - % Detractors,promoter percentage; detractor percentage,Inputs must be percentages from the same survey population and period; result must be between -100 and 100.,python,"Key Marketing Metrics, 3rd Edition",2.9 Net Promoter,PDF 77,A,approved,
BIZ006,marketing,customer economics,customer lifetime value,definition,Customer lifetime value is the present value of future cash flows attributed to a customer relationship.,,future margin/cash-flow assumptions; retention; discount rate,State model assumptions; do not mix inconsistent time periods.,python,"Key Marketing Metrics, 3rd Edition",5.3 Customer Lifetime Value,PDF 173,A,approved,
BIZ007,marketing,customer economics,customer lifetime value,formula,"For a constant-margin, constant-retention model, CLV can be estimated from margin, retention rate, and discount rate.",CLV = Margin × RetentionRate / (1 + DiscountRate - RetentionRate),margin per period; retention rate per period; discount rate per period,Retention and discount rate must use the same period; denominator must be positive; assumptions of constant margin/retention must be disclosed.,python,"Key Marketing Metrics, 3rd Edition",5.3 Customer Lifetime Value,PDF 175,A,approved,
BIZ008,marketing,customer economics,average acquisition cost,formula,Average acquisition cost is acquisition spending divided by the number of new customers acquired.,Average acquisition cost = Acquisition spending / New customers acquired,acquisition spending; new customers acquired,New customers acquired must be greater than zero and correspond to the same campaign/time period.,python,"Key Marketing Metrics, 3rd Edition",5.5 Acquisition versus retention cost,PDF 179,A,approved,
BIZ009,marketing,pricing,price elasticity of demand,formula,Price elasticity measures how responsive quantity demanded is to a change in price.,Price elasticity = % change in quantity demanded / % change in price,price change; quantity change,"Use comparable periods/conditions and state whether the estimate is observational, experimental, survey-based, or modeled.",python,"Key Marketing Metrics, 3rd Edition",8.3 Price elasticity of demand,PDF 227,A,approved,
BIZ010,marketing,pricing,optimal linear price,formula,"For a linear demand function, the contribution-maximizing price is the midpoint between maximum reservation price and variable cost.",Optimal price = (Maximum reservation price + Variable cost per unit) / 2,maximum reservation price; variable cost per unit; linear-demand assumption,Apply only when the linear-demand assumption is defensible.,python,"Key Marketing Metrics, 3rd Edition",8.4 Optimal prices and linear and constant demand functions,PDF 235,A,approved,
BIZ011,marketing,profitability,contribution per unit,formula,Contribution per unit is selling price per unit minus variable cost per unit.,Contribution per unit = Selling price per unit - Variable cost per unit,selling price per unit; variable cost per unit,Do not mix fixed cost into variable cost; all inputs must use the same unit basis.,python,"Key Marketing Metrics, 3rd Edition",3.6 Contribution per unit / contribution margin,PDF 120,A,approved,
BIZ012,marketing,growth,cagr,formula,CAGR summarizes the average compounded growth rate across multiple periods; it can mask individual year-to-year variation.,CAGR = (Ending value / Starting value)^(1/N) - 1,starting value; ending value; number of periods,Starting value must be positive for this standard formulation; state N and period unit.,python,"Key Marketing Metrics, 3rd Edition",4.2 Compound Annual Growth Rate,PDF 128,A,approved,
BIZ013,strategy,industry analysis,five forces,framework,"Industry analysis can examine threat of new entrants, threat of substitutes, buyer power, supplier power, and current rivalry.",,industry participants; substitutes; buyers; suppliers; barriers,Use as a structured qualitative framework; do not convert qualitative force labels into fabricated numeric scores.,llm+knowledge,"Management, 14th Global Edition (Robbins & Coulter)",Five Forces Model,PDF 326,A,approved,
BIZ014,strategy,situation analysis,swot,framework,SWOT separates internal strengths/weaknesses from external opportunities/threats.,,internal capability evidence; external environment evidence,Keep internal and external factors distinct and evidence-based.,llm+knowledge,"Management, 14th Global Edition (Robbins & Coulter)",Strategic Management,PDF 317,A,approved,
BIZ015,strategy,external environment,pestle,framework,"PESTLE provides a framework for investigating political, economic, socio-cultural, technological, legal, and environmental influences in the external environment.",,external evidence by PESTLE category,Do not present PESTLE items as causal facts without supporting evidence.,llm+knowledge,"Business Analysis Techniques, 3rd Edition",Technique 1: PESTLE analysis,PDF 42,A,approved,
BIZ016,strategy,problem solving,mece case structure,method,"A structured business case approach can organize drivers into mutually exclusive, collectively exhaustive branches, prioritize high-impact branches, request data, and refine hypotheses as evidence emerges.",,business objective; candidate drivers; evidence,Treat hypotheses as provisional until tested; avoid forced MECE labels when categories genuinely overlap.,llm+knowledge,IIMB Casebook and Industry Reports 2025-26,Case analysis guidance,PDF 11,C,approved,
