knowledge_id,domain,subdomain,topic,knowledge_type,statement,formula,required_inputs,validation_rule,recommended_tool,source_title,source_section,source_page,source_tier,status,notes
SEC001,security,agent safety,action boundaries,control,Define strict action boundaries so the agent operates only within approved operational constraints.,,allowed actions; denied actions; tool permissions,Denied actions remain denied even if requested by prompt or model output.,python,Building Agentic AI Systems,Managing Safety and Ethical Considerations,PDF 417,B,approved,
SEC002,security,agent safety,decision verification,control,Critical agent decisions should pass deterministic or rule-based verification before external action or execution.,,proposed action; policy constraints; validation result,No executable action proceeds when verification fails or is indeterminate.,python,Building Agentic AI Systems,Core safety considerations,PDF 417,B,approved,
SEC003,security,agent safety,human oversight,principle,Agent autonomy should remain within designer/operator boundaries and does not imply absence of human oversight.,,risk level; escalation condition,Escalate unsupported/high-risk cases rather than extending autonomous scope.,python,Building Agentic AI Systems,Agency and autonomy,PDF 106,B,approved,
SEC004,security,llm threats,prompt injection,threat,Prompt injection can manipulate an agent into unsafe instructions; input text must never be treated as authority over system controls.,,user/model/retrieved text; security policy,Security policy and tool validator take precedence over prompt content.,python,Building Applications with AI Agents,Prompt injection defenses,PDF 131,B,approved,
SEC005,security,llm threats,output validation,control,Model output should be filtered and validated against business rules and safety constraints before use.,,model output; schema; business/security rules,Reject invalid/unsafe fields instead of repairing them by assumption.,python,Building Applications with AI Agents,Output filtering and validation,PDF 403-406,B,approved,
SEC006,security,access control,least privilege,control,Restrict agent access through authentication and role-based permissions so each runtime path has only the privileges it requires.,,runtime role; required operations,Business-query account must not have data-modification/admin privileges.,mysql+python,Building Applications with AI Agents,Access control and operational defenses,PDF 406,B,approved,
SEC007,security,abuse prevention,rate/resource limiting,control,Apply rate/resource limits to reduce abuse and prevent unbounded model or database workload.,,request limits; row limit; timeout; retry limit,Enforce deterministic limits before/around execution.,python,Building Applications with AI Agents,Access control and rate limiting,PDF 406,B,approved,
SEC008,security,monitoring,logging and auditing,control,Log model/tool interactions and security-relevant outcomes sufficiently to detect suspicious patterns and support investigation.,,run id; request; tool action; validation status; timestamp,"Never log passwords, API secrets, `.env` contents, or hidden chain-of-thought.",mysql+python,Building Applications with AI Agents,Logging and auditing,PDF 406,B,approved,
SEC009,security,isolation,sandboxing,control,Isolate agent operations so unintended behavior cannot spill into broader systems.,,approved tools; file paths; process permissions,No arbitrary shell/Python execution from user text; restrict report/output paths.,python,Building Applications with AI Agents,Sandboxing agent operations,PDF 406,B,approved,
SEC010,security,assurance,red teaming,control,"Use adversarial testing to probe prompt injection, jailbreaks, misuse, and edge-case failure modes in addition to ordinary functional tests.",,attack cases; expected safe behavior,Security test passes only when unsafe action/data disclosure is blocked deterministically.,python,Building Applications with AI Agents,Red Teaming,PDF 406,B,approved,
SEC011,security,development,shift-left security,control,"Security testing and secret scanning should be performed early in development, not only at final review.",,source code; dependency set; commit/test workflow,Review scanner findings and prevent secrets from entering version control.,python,"Full Stack Testing, 2nd Edition",Shift-left testing,PDF 25,B,approved,
SEC012,security,sql,single statement,control,Business-data SQL must contain exactly one statement.,,proposed SQL,"Reject multiple statements, stacked queries, and statement separators that produce more than one parse tree.",python,Project security architecture,SQL firewall requirement,N/A,PROJECT,approved,
SEC013,security,sql,select only,control,Business-query execution permits read-only SELECT statements only.,,parsed SQL,"Reject INSERT, UPDATE, DELETE, DROP, ALTER, CREATE, TRUNCATE, GRANT, REVOKE, CALL, and other non-SELECT statements.",python+mysql,Project security architecture,SQL firewall requirement,N/A,PROJECT,approved,
SEC014,security,sql,schema allowlist,control,SQL should reference only approved real tables/views and columns discovered from the actual schema.,,parsed identifiers; schema metadata,Reject unknown or disallowed identifiers rather than letting the model guess.,python,Project security architecture,Schema validation requirement,N/A,PROJECT,approved,
SEC015,security,sql,row and time limits,control,Read-only queries must still be bounded by configured row/resource/time limits.,,validated SQL; max rows; timeout,Apply LIMIT/timeout policy where practical; reject intentionally unbounded extraction.,python+mysql,Project security architecture,Resource limit requirement,N/A,PROJECT,approved,
SEC016,security,database,separate accounts,control,Use separate least-privileged connections for business reads and application/audit persistence.,,reader credentials; app credentials,Never run normal agent queries as root or a broad administrative account.,mysql,Project security architecture,Least-privilege database design,N/A,PROJECT,approved,
SEC017,security,secrets,environment secrets,control,"Credentials belong in environment configuration and must not be hard-coded, printed, sent to the model, written to reports, or committed to Git.",,environment variables; logging configuration,Redact secret values in exceptions and audit records.,python,Project security architecture,Secret management requirement,N/A,PROJECT,approved,
SEC018,security,llm runtime,local-only inference,control,Production LLM inference must use only the configured local Ollama endpoint and must not silently fall back to cloud providers.,,LOCAL_ONLY flag; Ollama host,"When local-only is enabled, allow only localhost/127.0.0.1 approved Ollama hosts.",python,Project security architecture,Local-only runtime requirement,N/A,PROJECT,approved,
SEC019,security,privacy,external data transmission,control,"Do not transmit project database contents, prompts containing sensitive data, or credentials to external LLM endpoints.",,destination host; payload classification,Block nonlocal model hosts in production and keep external token billing at zero.,python,Project security architecture,Local-only/privacy requirement,N/A,PROJECT,approved,
SEC020,security,files,path traversal,control,Generated reports and files must remain inside approved output directories using sanitized filenames.,,requested filename/path; approved base directory,"Resolve path and verify it remains under approved base; reject `..`, absolute escape paths, and equivalent traversal.",python,Project security architecture,Report path security,N/A,PROJECT,approved,
