knowledge_id,domain,subdomain,topic,knowledge_type,statement,formula,required_inputs,validation_rule,recommended_tool,source_title,source_section,source_page,source_tier,status,notes
AN001,analytics,revenue,total revenue,rule,"For a total-revenue question, aggregate the approved revenue measure over the requested filters in SQL, then validate the scalar result.",Total revenue = SUM(approved revenue expression),approved revenue expression; filters; period,Confirm the revenue definition and date/status filters before execution.,mysql,Project analytical architecture,Approved deterministic analytics rule,N/A,PROJECT,approved,
AN002,analytics,revenue,revenue by period,rule,"For monthly/weekly/daily revenue, aggregate the approved revenue measure at the requested time grain in SQL and return one row per period.",Period revenue = SUM(revenue) GROUP BY requested period,revenue expression; date field; time grain; filters,Check that each record belongs to exactly one requested period and periods are ordered chronologically.,mysql,"SQL for Data Analytics, 4th Edition",Aggregation with GROUP BY,PDF 16,A,approved,
AN003,analytics,growth,period-over-period growth,rule,Calculate period-over-period growth deterministically after retrieving verified period totals.,Growth % = (Current - Previous) / Previous × 100,current period value; previous period value,Previous value must be nonzero; periods must be comparable and adjacent under the requested definition.,python,"Key Marketing Metrics, 3rd Edition",4.2 Growth metrics,PDF 140,A,approved,
AN004,analytics,growth,cagr,rule,Use CAGR only for multi-period compounded growth and disclose that it can mask individual year-to-year variation.,CAGR = (Ending / Starting)^(1/N) - 1,starting value; ending value; N periods,Starting value must be positive for the standard formula; state N and unit.,python,"Key Marketing Metrics, 3rd Edition",4.2 CAGR,PDF 128,A,approved,
AN005,analytics,ranking,top n entities,rule,"For top products/customers/categories, aggregate the target measure at the entity grain and rank descending; apply a deterministic tie rule.",Rank = descending aggregate measure,entity key/name; measure; filters; N,Verify the aggregation grain and tie-handling; do not rank raw transaction rows.,mysql,"SQL Cookbook, 2nd Edition",Grouping and window functions,PDF 7-12,A,approved,
AN006,analytics,orders,average order value,rule,"Average order value should be computed from verified order-level revenue divided by the count of included orders, not from an average of line-item values.",AOV = Total included order revenue / Included order count,order identifier; included revenue; filters,Build/verify order grain first; denominator must be nonzero.,python+mysql,Project analytical architecture,Approved metric rule,N/A,PROJECT,approved,
AN007,analytics,mix,contribution share,rule,Compute an entity contribution share by dividing its verified measure by the verified total for the same scope.,Share % = Entity measure / Total measure × 100,entity measure; total measure,Numerator and denominator must use identical filters/time scope; total must be nonzero.,python,"Key Marketing Metrics, 3rd Edition",Share/market metrics,N/A,A,approved,
AN008,analytics,customer,net promoter score,rule,Calculate NPS from survey classifications only when promoter and detractor percentages are available for the same population.,NPS = %Promoters - %Detractors,promoter percentage; detractor percentage,Result must be within -100 to 100; do not infer NPS from ratings without the defined classification rule.,python,"Key Marketing Metrics, 3rd Edition",2.9 Net Promoter,PDF 77,A,approved,
AN009,analytics,customer,customer lifetime value,rule,Use the constant-retention CLV formula only when its assumptions fit the requested analysis.,CLV = Margin × RetentionRate / (1 + DiscountRate - RetentionRate),margin; retention; discount rate,Same time unit; valid denominator; disclose constant-margin/retention assumptions.,python,"Key Marketing Metrics, 3rd Edition",5.3 Customer Lifetime Value,PDF 175,A,approved,
AN010,analytics,customer,customer acquisition cost,rule,Compute average acquisition cost as total acquisition spending divided by newly acquired customers for the same campaign/period.,AAC = Acquisition spending / New customers acquired,acquisition spending; acquired customer count,Acquired customer count > 0 and scope aligned.,python,"Key Marketing Metrics, 3rd Edition",5.5 Acquisition versus retention cost,PDF 179,A,approved,
AN011,analytics,pricing,price elasticity,rule,Estimate price elasticity from comparable percentage changes in quantity demanded and price when the data support such an inference.,Elasticity = %ΔQuantity / %ΔPrice,price observations; quantity observations; comparable context,Do not infer causality from uncontrolled before/after data; disclose estimation basis.,python,"Key Marketing Metrics, 3rd Edition",8.3 Price elasticity,PDF 227,A,approved,
AN012,analytics,pricing,optimal linear price,rule,"For a defensible linear-demand model, compute contribution-maximizing price as the midpoint between maximum reservation price and variable cost.",P* = (MRP + VC) / 2,maximum reservation price; variable cost,Use only for a linear demand function; otherwise mark method unsupported.,python,"Key Marketing Metrics, 3rd Edition",8.4 Optimal prices,PDF 235,A,approved,
AN013,analytics,profitability,contribution per unit,rule,Use contribution per unit to separate variable economics from fixed costs.,Contribution/unit = Price/unit - Variable cost/unit,price per unit; variable cost per unit,Inputs must use the same unit and currency basis.,python,"Key Marketing Metrics, 3rd Edition",3.6 Contribution,PDF 120,A,approved,
AN014,analytics,profitability,break-even volume,rule,Compute break-even volume from fixed cost and positive contribution per unit under constant cost/price assumptions.,Break-even volume = Fixed cost / (Price - Variable cost),fixed cost; unit price; unit variable cost,Contribution per unit must be > 0; disclose model assumptions.,python,"Operations Management, 13th Edition (Stevenson)",Break-even analysis,PDF 239,A,approved,
AN015,analytics,finance,net present value,rule,"Discount each project cash flow at the required rate for its period and sum, including the initial investment.",NPV = Σ[CF_t/(1+r)^t],cash flows; discount rate; timing,Rate and cash-flow periods must align; include t=0 correctly.,python,"Fundamentals of Corporate Finance, 6th Edition",9. Net Present Value,PDF 314,A,approved,
AN016,analytics,finance,internal rate of return,rule,"Compute IRR deterministically as a root of the NPV function, while checking for nonconventional cash flows and ambiguous roots.",Find r where NPV(r)=0,cash-flow series,"If multiple sign changes or no stable root, flag IRR as ambiguous/unavailable and prioritize NPV.",python,"Fundamentals of Corporate Finance, 6th Edition",9.5 IRR,PDF 323,A,approved,
AN017,analytics,operations,productivity,rule,"Compute productivity as output divided by the chosen input; state whether the measure is labor, machine, material, or multifactor productivity.",Productivity = Output / Input,output; input,Numerator/denominator must use compatible scope and period; denominator > 0.,python,"Operations Management, 13th Edition (Stevenson)",Productivity,PDF 89,A,approved,
AN018,analytics,operations,capacity utilization,rule,Compute utilization as actual output divided by design capacity for the same period.,Utilization % = Actual output / Design capacity × 100,actual output; design capacity,Design capacity > 0 and same output/time unit.,python,"Operations Management, 13th Edition (Stevenson)",Strategic Capacity Planning,PDF 226,A,approved,
AN019,analytics,operations,inventory turnover,rule,Calculate inventory turnover using the organization's approved numerator/average-inventory convention and state that convention.,,approved turnover numerator; average inventory,Do not compare turnover values computed with different conventions or periods.,python,"Essentials of Inventory Management, 2nd Edition",Inventory Turnover Ratio,PDF 37,A,approved,
AN020,analytics,operations,reorder point,rule,Use the approved reorder-point policy for independent-demand items and include safety stock when the selected policy requires it.,,demand rate; lead time; safety stock/policy,Demand and lead-time units must align; never invent safety stock.,python,"Essentials of Inventory Management, 2nd Edition",Order-Point Formulae,PDF 128,A,approved,
AN021,analytics,statistics,descriptive summary,rule,"For exploratory numeric summaries, use deterministic counts, central tendency, dispersion, quantiles, and grouped summaries before explanatory conclusions.",,verified DataFrame; variables; group keys,Report missing-value handling and avoid extrapolating beyond observed data.,python,"Python for Data Analysis, 3rd Edition",Group Operations,PDF 112,A,approved,
AN022,analytics,diagnostics,root cause analysis,rule,Use root-cause methods to investigate why a problem occurs after the problem is evidenced; do not label the first plausible explanation as the root cause.,,observed problem; candidate causes; evidence,Require evidence that discriminates among candidate causes.,llm+knowledge,"Business Analysis Techniques, 3rd Edition",Root cause analysis,PDF 497,A,approved,
AN023,analytics,strategy,pestle scan,rule,"For external-environment questions, organize evidence under PESTLE categories and keep the output qualitative unless measured data are available.",,external evidence; scope/market,No fabricated force scores; label dated/geographic evidence.,llm+knowledge,"Business Analysis Techniques, 3rd Edition",Technique 1: PESTLE analysis,PDF 42,A,approved,
AN024,analytics,strategy,five forces scan,rule,"For industry-structure questions, organize evidence around entrants, substitutes, buyer power, supplier power, and rivalry.",,industry definition; competitor/supplier/buyer evidence,Do not translate narrative evidence into numeric attractiveness scores unless an approved scoring model is provided.,llm+knowledge,"Management, 14th Global Edition (Robbins & Coulter)",Five Forces Model,PDF 326,A,approved,
AN025,analytics,performance,query performance review,rule,"When a business query is unexpectedly slow, inspect EXPLAIN/access type and rows examined before proposing optimization.",,validated SELECT query; schema/index metadata,Runtime may diagnose but must not alter schema/indexes automatically.,mysql,"High Performance MySQL, 4th Edition",Query Cost / EXPLAIN,PDF 282,A,approved,
AN026,analytics,visualization,time trend chart,rule,Use a line chart for ordered time trends when the primary question concerns change over time; keep the underlying table available for audit.,,ordered period; verified measure,Periods must be sorted and complete/explicitly missing; chart values must match the verified table.,python,Storytelling with Data,Choosing an effective visual / explanatory analysis,PDF 39-48,B,approved,
AN027,analytics,visualization,category comparison chart,rule,Use a bar chart for discrete category comparisons when length comparison communicates the result more clearly than a table.,,category; verified measure,Sort intentionally when useful; preserve exact values in supporting table.,python,Storytelling with Data,Choosing an effective visual,N/A,B,approved,
AN028,analytics,communication,explanatory answer,rule,"After exploratory analysis, communicate the decision-relevant message rather than dumping every tested view.",,verified findings; audience; decision context,Every headline statement must be supported by displayed or auditable evidence.,llm,Storytelling with Data,Exploratory vs. explanatory analysis / Big Idea,PDF 39-48,B,approved,
